,S,K,T,r,sigma,value
0,129.81843537335763,70.29857865147996,0.09895039687456308,0.027162230749977735,0.8314126781018625,0.07698094674800193
1,27.32571515661273,56.44074994404404,1.4448803930736247,0.01598299685622441,0.3536415428031466,28.159790209771064
2,125.19242719020708,138.35656408944084,1.186282913936953,0.03526737594203992,1.1838658436281955,65.80787516591744
3,38.83300347980079,147.35246571000326,4.654807743740678,0.007177693517472843,0.09374378993366406,103.67763591947784
4,90.08856860077579,125.29775966880725,2.938630408086307,0.04374367741837416,0.2379170051823063,28.126275562669626
5,40.36743601299182,122.50684155420616,1.9402040810711192,0.030797393999606577,1.1640355838351961,89.47974487874465
6,7.386638300695969,96.2839246382527,0.07891309632715171,0.042970917275132546,0.6106269750286785,88.57134356038382
7,32.353293082983356,127.80304503484658,3.1723747060384033,0.009447727366731808,1.0220604414095082,103.9057452964267
8,171.93654646127544,65.73500724725365,3.022917566420528,0.031226627997393137,0.6132002396097559,8.389708784445656
9,13.353066794320224,75.9785632157148,4.117550803393773,0.03393146583493361,0.22917463395466936,52.71938706158002
10,37.97637402684448,145.71729505247237,3.100290208058362,0.020164861373497954,0.5524020737435447,101.73968912618625
11,112.65574107074461,128.41113349194157,4.54909467234086,0.01269089615680459,0.24605294595672456,28.708511438878844
12,50.76547654467167,120.82553921807687,4.197225218151258,0.005742425074039219,1.36771233868287,105.82732139976795
13,74.85596717910825,72.55567205115358,3.1865792510515556,0.04470647202061233,0.615879003398722,23.114890462950704
14,34.27838163562424,91.86850497294756,4.043153568780664,0.04275635542725393,0.3473193891497437,45.08910032359026
15,172.71501782615147,70.92180304220753,2.2792610974192753,0.0028987473981243062,0.5122538173433897,4.946103644311048
16,136.42709788873134,102.20311108504643,1.9709071816508321,0.010041039398899974,1.4070995593016569,62.64037142692651
17,45.08979193749547,56.1485229983657,2.906265660007291,0.039282627412666075,1.0581314498614667,32.659512908768
18,97.86696937886192,72.41631933647282,2.245299601998347,0.012622573163169521,0.11509919887367362,0.15349242657500728
19,80.03433842499791,63.648609897872355,0.7377060374538497,0.03318529360875391,0.6502293532159388,8.201983749236152
20,24.368739497948553,75.43584783819425,1.919060608513633,0.012408663151517712,1.2568607567420327,58.8772551177684
21,57.040608915059686,50.68191438101128,4.475467186257059,0.011934525529027223,0.8593936750843114,29.06718856232609
22,49.602399444270475,143.04033394388267,0.7534007441706758,0.027147180410674494,0.8638643328690392,92.79602781332574
23,160.29123979167724,57.01541014233376,3.6312447005878727,0.03377567648582333,0.8541010307365098,17.077897357560424
24,151.4039086925015,65.99086647442843,1.9268884691765136,0.00954287916844922,0.057479869544803545,7.211487328092183e-27
25,60.78627411701276,139.10249206769862,1.198310054877794,0.0046041726599229185,0.2767761328997146,77.57871867290092
26,114.42669721192378,139.60533578881098,1.1483696168823325,0.03977061033981388,1.403580715840562,77.65743838484937
27,124.72696185774022,122.7832924103021,4.267803666553506,0.03913699984819529,0.7307177347807213,52.79016737549674
28,191.18653454028274,72.86910062127163,1.846880888536195,0.03654043746585836,0.6282973295166763,5.04992888038135
29,114.23264720626094,54.51096523325896,3.8335428632590713,0.04766362115169747,0.48741400663759454,5.680101818365012
30,183.88348633509224,51.957926724423444,3.000222259040013,0.024243852002395795,0.4052266667591047,0.6895497200189453
31,151.18265787404502,91.86832700887811,1.203315046905837,0.036459021822278816,0.899820028950008,19.55476226751024
32,161.98729501269722,96.4794950506859,0.5694068411545267,0.025537208332829023,0.31955859899834754,0.1416179461388405
